date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:53:16	1109/1109	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Jun%202024%2003:53:17%20GMT	https://loki.lol/robots.txt		(from )
22:53:16	3469/3469	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Jun%202024%2003:53:16%20GMT	https://loki.lol/	C:/My%20Web%20Sites/loki/loki.lol/index.html	(from )
22:53:17	36/36	---M--	404	error ('Not%20Found')	text/plain	date:Mon,%2024%20Jun%202024%2003:53:17%20GMT	https://cdn.discordapp.com/attachments/1182090065233584148/1213525705732661309/PNG_Logo_White_-_Betrayal.png?ex=65f5cae2&is=65e355e2&hm=e757790f2e771eb653c2384e8f33a3c5f5ea73295c1356eb6090bdcf5e1d8c00&	C:/My%20Web%20Sites/loki/cdn.discordapp.com/attachments/1182090065233584148/1213525705732661309/PNG_Logo_White_-_Betrayal.0ec3d.delayed	(from https://loki.lol/)
22:53:17	1211/1211	---MCZ	200	added ('OK')	text/css	etag:W/%22c090b24a6c7ae0c2261e0127806f6e26%22	https://loki.lol/_app/immutable/assets/0.94ebf1cd.css	C:/My%20Web%20Sites/loki/loki.lol/_app/immutable/assets/0.94ebf1cd.css	(from https://loki.lol/)
22:53:17	4804/4804	---MCZ	200	added ('OK')	text/css	etag:W/%22d8667e52c9b30ed81f3d0e436169dac9%22	https://loki.lol/_app/immutable/assets/2.e47351ea.css	C:/My%20Web%20Sites/loki/loki.lol/_app/immutable/assets/2.e47351ea.css	(from https://loki.lol/)
22:53:17	2540/2540	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Jun%202024%2003:53:17%20GMT	https://loki.lol/login	C:/My%20Web%20Sites/loki/loki.lol/login.html	(from https://loki.lol/)
22:53:17	2375/2375	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Jun%202024%2003:53:18%20GMT	https://loki.lol/register	C:/My%20Web%20Sites/loki/loki.lol/register.html	(from https://loki.lol/)
22:53:18	334812/334812	---M--	200	added ('OK')	image/png	etag:%22a1f3ffac4bb19b506a507fdb0c17496f%22	https://loki.lol/_app/immutable/assets/dashboard_image.726cb79a.png	C:/My%20Web%20Sites/loki/loki.lol/_app/immutable/assets/dashboard_image.726cb79a.png	(from https://loki.lol/)
22:53:18	2056735/2056735	---M--	200	added ('OK')	image/png	etag:%22de2abefe103478960496ab5929e2ce3c%22	https://loki.lol/_app/immutable/assets/slug_image.75a2b569.png	C:/My%20Web%20Sites/loki/loki.lol/_app/immutable/assets/slug_image.75a2b569.png	(from https://loki.lol/)
22:53:18	24148/24148	---MCZ	200	added ('OK')	application/javascript	etag:W/%222d978d220af04389781ae6be1f6ad363%22	https://loki.lol/_app/immutable/entry/start.af1a2051.js	C:/My%20Web%20Sites/loki/loki.lol/_app/immutable/entry/start.af1a2051.js	(from https://loki.lol/)
22:53:19	6180/6180	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ecdf03c8641ee6d8db98152b69c53765%22	https://loki.lol/_app/immutable/entry/app.1546456a.js	C:/My%20Web%20Sites/loki/loki.lol/_app/immutable/entry/app.1546456a.js	(from https://loki.lol/)
22:53:19	1681/1681	---MCZ	200	added ('OK')	text/css	etag:W/%22a4b402f5daf9a17a7000c064d2ccd64d%22	https://loki.lol/_app/immutable/assets/5.2442f0ba.css	C:/My%20Web%20Sites/loki/loki.lol/_app/immutable/assets/5.2442f0ba.css	(from https://loki.lol/login)
22:53:19	1931/1931	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Jun%202024%2003:53:19%20GMT	https://loki.lol/recover	C:/My%20Web%20Sites/loki/loki.lol/recover.html	(from https://loki.lol/login)
22:53:19	1522/1522	---MCZ	200	added ('OK')	text/css	etag:W/%22c2aaf31e516d121d90b200caf2910fc9%22	https://loki.lol/_app/immutable/assets/7.ba4c9abc.css	C:/My%20Web%20Sites/loki/loki.lol/_app/immutable/assets/7.ba4c9abc.css	(from https://loki.lol/register)
22:53:20	1334/1334	---MCZ	200	added ('OK')	text/css	etag:W/%224430b0f3eef14bc632fc8cb55103b205%22	https://loki.lol/_app/immutable/assets/6.1f0b4d86.css	C:/My%20Web%20Sites/loki/loki.lol/_app/immutable/assets/6.1f0b4d86.css	(from https://loki.lol/recover)
